,lemma,no_lemma,egraph
AndOrXor_2063,,,
AndOrXor_2429,,,
AndOrXor_2284,,,
AndOrXor_2367,,,
AndOrXor_1247,,,
AndOrXor_1288,,,
AndOrXor_144,,,
InstCombineShift440,,,
AndOrXor_2263,,,
InstCombineShift279,,,
AndOrXor_2658,,,
AndOrXor_2595,,,
AndOrXor_135,,,
AndOrXor_2188,,,
AddSub_1043,,,
AndOrXor_2607,,,
InstCombineShift476,,,
AndOrXor_1241,,,
AndOrXor_2264,,,
AndOrXor_2231,,,
AndOrXor_2123,,,
AndOrXor_2247,,,
AndOrXor_2243,,,
AndOrXor_2430,,,
AndOrXor_2297,,,
AndOrXor_2417,,,
AndOrXor_2285,,,
AndOrXor_2627,,,
AndOrXor_1253,,,
AndOrXor_2587,,,
AndOrXor_2113,,,
AndOrXor_1230,,,
InstCombineShift239,,,
AndOrXor_1280,,,
InstCombineShift582,,,
AndOrXor_2416,,,
AndOrXor_2647,,,
AndOrXor_2617,,,
AndOrXor_1294,,,
AndOrXor_2581,,,
AndOrXor_2265,,,
AndOrXor_2118,,,
AddSub_1564,,,0.0019420230000000002
AndOrXor_2475,,,0.0018970100000000002
AndOrXor_2486,,,0.00040999499999999997
AddSub_1202,,,0.000405393
AndOrXor_2515,,290.134,
InstCombineShift497a,,279.243,
AddSub_1295,391.316,,0.0006612730000000001
AddSub_1624,283.636,,0.000503293
AddSub_1560,28.365,,5.5056e-05
