,lemma,no_lemma,egraph
InstCombineShift497d,,,0.0008688499999999999
muldivrem_290_292,276.477,,0.000156372
muldivrem_229,107.236,,0.000712963
muldivrem_239,71.813,,0.007288016
AddSub_1614,38.942,278.047,0.004483109
AddSub_1619,27.162,,0.0006451660000000001
AddSub_1164,27.148,279.151,0.00030940599999999997
AddSub_1165,27.144,278.963,0.000790824
AddSub_1574,27.106,,0.000639309
AddSub_1176,27.094,278.239,0.000173319
AddSub_1539_2,27.035,265.063,0.000165539
muldivrem_152,26.983,,0.00015518499999999999
Select_1100,1.308,1.129,4.98e-07
Select_1105,1.294,1.186,1.06e-06
